id,name,category,description,keywords,url
111,Resemble.ai,"Voice Cloning","Realistic voice cloning for speech and dialogue.","clone, voiceover, TTS",https://www.resemble.ai
112,Gamma.app,"Presentation Making","AI Presentation Maker","slides, storytelling, visuals",https://gamma.app
113,Ocoya,Marketing,"Social media content creation with AI, scheduler included.","social, content, scheduler",https://www.ocoya.com
114,Teal,"Resume Builder","Job tracker and AI resume enhancer with real-time job matching.","resume, job tracker, ATS",https://www.tealhq.com
115,ScholarAI,"Study Guider","Summarizes academic papers and answers questions using GPT.","papers, research, study",https://scholarai.info
116,Finty,"Financial Assistant","Compare credit cards and loans using AI recommendations.","finance, compare, credit",https://finty.com
117,"Deep Dream Generator","Image Generator","AI image generator for dream-like visuals and art.","dream, art, neural",https://deepdreamgenerator.com
118,Fliki,"Video Enhancer","Convert text into videos with voiceover using AI.","text to video, TTS, explainer",https://fliki.ai
119,SlidesAI,"Presentation Making","Convert any text into professional slides automatically.","text to slides, decks, AI",https://www.slidesai.io
120,Designs.ai,"Logo Maker","Full branding kit generator with logos, videos, and banners.","brand, logo, video",https://designs.ai
121,Taplio,Marketing,"AI for building LinkedIn presence and content scheduling.","linkedin, social media, personal brand",https://taplio.com
122,Resume.io,"Resume Builder","Simple resume builder with templates and instant download.","resume, CV, builder",https://resume.io
123,"Notion AI","Study Guider","AI writing assistant and study planner inside Notion.","planner, notes, writing",https://www.notion.so/product/ai
125,"Kuki AI",Chatbot,"Conversational AI chatbot for customer interaction.","chatbot, customer support",https://www.kuki.ai
126,Quickchat,Chatbot,"Multilingual AI chatbot for businesses.","support, multilingual, chatbot",https://quickchat.ai
127,"Magic Eraser","Image Editor","Erase unwanted parts of images using AI.","image cleanup, remove object",https://magicstudio.com
131,Taskade,Productivity,"Collaborative task management and AI assistant for planning.","tasks, planning, collaboration",https://www.taskade.com
132,Magical,Productivity,"AI automation tool to fill forms and send messages instantly.","autofill, macros, shortcut",https://www.getmagical.com
133,Lovo,"Voice Cloning","AI voiceover generator for marketing and video production.","voiceover, TTS, media",https://www.lovo.ai
134,Kaiber,"Video Enhancer","Turn music and stories into visuals with generative video.","video, music, generative",https://www.kaiber.ai
135,PromptHero,"Prompt Tools","Search engine for best prompts for AI tools.","prompts, generative AI, search",https://prompthero.com
136,AISEO,Marketing,"SEO and blog optimization with AI writing assistance.","SEO, writing, content",https://aiseo.ai
137,Genmo,"Video Enhancer","Text-to-video animation creator powered by AI.","text to video, animation, story",https://www.genmo.ai
138,"Opus Clip","Video Enhancer","AI tool that repurposes long videos into viral short clips.","video clipper, shortform, AI",https://www.opus.pro
139,Durable,"Website Builder","Build an entire website with AI in under a minute.","website builder, fast, AI",https://durable.co
